Brand,Model,Year,Power,Drivetrain,Form Factor,Price,Type,Range,Picture
Land Rover,Range Rover,2021,395,AWD,Large,124171,PHEV,840,https://www.motortrend.com/uploads/sites/10/2021/01/2021-land-rover-range-rover-autobiography-suv-angular-front.png?fit=around%7C875:492.1875
Land Rover,Range Rover Sport,2021,254,AWD,Large,97236,PHEV,803,https://www.motortrend.com/uploads/sites/10/2020/12/2021-land-rover-range-rover-sport-hse-phev-4wd-suv-angular-front.png?fit=around%7C875:492.1875
Lincoln,Aviator,2021,400,AWD,SUV,114111,PHEV,300,https://images.dealer.com/ddc/vehicles/2020/Lincoln/Aviator/SUV/perspective/front-left/2000_24.png
MINI,Countryman,2021,221,AWD,Mid-size,48077,PHEV,27,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2019/08/chrome-image-399143-1.png
MINI,Cooper SE,2021,184,FWD,Hatchback,43543,BEV,155,https://www.motortrend.com/uploads/sites/5/2020/06/2020-mini-cooper-se-1.png?fit=around%7C875:492.1875
Mitsubishi,Outlander,2020,117,AWD,Mid-size,66222,PHEV,35,https://images.dealer.com/ddc/vehicles/2020/Mitsubishi/Outlander%20PHEV/SUV/perspective/front-left/2020_24.png
Nissan,Leaf,2021,147,FWD,Mid-size,41477,BEV,363,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14329/2021-Nissan-LEAF-front_14329_032_1845x830_QAK_cropped.png
Polestar,2,2021,402,AWD,Hatchback,69900,PHEV,374,https://www.cstatic-images.com/car-pictures/xl/usd10psc021a021001.png
Porsche,Cayenne E-Hybrid,2021,455,AWD,SUV,93800,PHEV,400,https://cdn.jdpower.com/ChromeImageGallery/Expanded/Transparent/640/2021PRS05_640/2021PRS050001_640_01.png
Porsche,Panamera E-Hybrid,2020,457,AWD,Large,150598,PHEV,23,https://evchargeplus.com/wp-content/uploads/2020/01/porsche-panamera-SE-evchargeplus-00.png
Porsche,Taycan,2020,522,AWD,Sedan,237326,PHEV,643,https://static.tcimg.net/vehicles/primary/84fd625c9a9ece6b/2020-Porsche-Taycan-white-full_color-driver_side_front_quarter.png
Smart,Fortwo,2021,89,RWD,Small,36996,BEV,101,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2018/05/chrome-image-397625.png
Subaru,Crosstrek SUV,2020,148,AWD,SUV,46351,PHEV,772,https://www.pngkit.com/png/full/90-902107_2019-subaru-crosstrek-suv-subaru-crosstrek-2018-png.png
Tesla,Model S,2020,534,AWD,Large,89938,BEV,646,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/screen-shot-2020-02-15-at-9-54-16-am-1581782098.png
Tesla,Model X,2020,534,AWD,SUV,103400,BEV,549,https://www.motortrend.com/uploads/sites/5/2020/06/2020-tesla-model-x-2.png
Tesla,Model 3,2020,480,RWD,Mid-size,49911,BEV,423,https://cdn.jdpower.com/ChromeImageGallery/Expanded/Transparent/640/2020TSC03_640/2020TSC030001_640_01.png
Tesla,Model Y,2020,480,AWD,SUV,65193,BEV,525,https://cdn.jdpower.com/ChromeImageGallery/Expanded/Transparent/640/2020TSS02_640/2020TSS020001_640_01.png
Toyota,Prius Prime,2021,121,FWD,Mid-size,37207,PHEV,40,https://cars.usnews.com/static/images/Auto/izmo/i146586704/2020_toyota_prius_prime_angularfront.jpg
Toyota,Mirai,2020,151,FWD,Subcompact,75834,HFCV,502,https://www.cstatic-images.com/car-pictures/xl/usd10toc271b021001.png
Toyota,RAV4 Prime,2021,302,AWD,SUV,44990,BEV,67,https://www.buyatoyota.com/assets/img/vehicle-info/RAV4_Prime/2021/hero_image_rav4prime.png
Volkswagen,e-Golf,2020,134,FWD,Compact,50675,BEV,201,https://evchargeplus.com/wp-content/uploads/2020/01/volkswagen-egolf-evchargeplus-00-800x429.png
Volvo,XC90,2021,316,AWD,SUV,49995,PHEV,526,https://i.pinimg.com/originals/1e/4b/67/1e4b679aa4fa6a8f6ebd3c626a419852.png
Volvo,XC90 T8,2021,313,AWD,SUV,71245,PHEV,529,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13754/2021-Volvo-XC90-front_13754_032_1832x863_723_cropped.png
Volvo,XC60,2021,250,AWD,SUV,52495,PHEV,526,https://cfx-vrf-main-imgs.imgix.net/c/6/9/05ac7bc2831111627b969a00eff65c3665b8c96c.png?auto=format&fit=clip&w=420
Volvo,XC60 T8,2021,415,AWD,SUV,70495,PHEV,561,https://evchargeplus.com/wp-content/uploads/2020/01/volvo-xc60-t8-evchargeplus-00-800x531.png
Volvo,S90 T8,2021,313,AWD,Mid-size,74950,PHEV,625,https://evchargeplus.com/wp-content/uploads/2020/01/T8_Volvo_S90-evchargeplus-00-800x600.png
Volvo,S60 T8,2021,313,AWD,Compact,51645,PHEV,725,https://cdn.jdpower.com/ChromeImageGallery/Expanded/Transparent/640/2019VOC34_640/2019VOC340017_640_01.png
Volvo,V60 T8,2021,415,AWD,Station Wagon,68295,PHEV,781,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/02/chrome-image-407796.png
